id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
8397,396,638,169,4,5,5,10.0,57,Finished,1:33.495
8398,396,496,212,8,6,6,8.0,57,Finished,1:34.256
8399,396,618,77,18,7,7,6.0,57,Finished,1:34.609
8400,396,315,83,9,8,8,4.0,57,Finished,1:34.948
8401,396,373,170,7,9,9,2.0,57,Finished,1:35.372
8402,396,562,77,14,10,10,1.0,57,Finished,1:35.179
8403,396,807,172,13,11,11,0.0,56,+1 Lap,1:36.786
8404,396,421,200,11,12,12,0.0,56,+1 Lap,1:34.985
8405,396,572,170,10,13,13,0.0,56,+1 Lap,1:35.552
8406,396,17,135,15,14,14,0.0,54,Power Unit,1:35.595
8407,396,231,172,19,15,R,0.0,50,Gearbox,1:35.086
8408,396,668,200,16,16,R,0.0,12,Collision,1:38.026
8409,396,735,212,12,17,R,0.0,12,Collision,1:36.303
8410,396,788,169,6,18,R,0.0,11,Brakes,1:36.681
8411,396,480,83,20,19,R,0.0,8,Electrical,1:38.718
8412,396,784,135,17,20,R,0.0,,Power Unit,
8413,397,101,140,3,1,1,25.0,52,Finished,1:37.367
8414,397,789,73,1,2,2,18.0,52,Finished,1:37.312
8415,397,665,73,2,3,3,15.0,52,Finished,1:36.844
8416,397,331,140,4,4,4,12.0,52,Finished,1:38.398
8417,397,788,169,7,5,5,10.0,52,Finished,1:38.429
8418,397,618,77,9,6,6,8.0,52,Finished,1:38.661
8419,397,562,77,10,7,7,6.0,52,Finished,1:38.745
8420,397,373,170,8,8,8,4.0,52,Finished,1:38.418
8421,397,496,212,6,9,9,2.0,51,+1 Lap,1:38.232
8422,397,668,200,14,10,10,1.0,51,+1 Lap,1:38.858
8423,397,735,212,11,11,11,0.0,51,+1 Lap,1:38.870
8424,397,421,200,12,12,12,0.0,51,+1 Lap,1:38.300
8425,397,480,83,13,13,13,0.0,51,+1 Lap,1:39.566
8426,397,784,135,20,14,14,0.0,51,+1 Lap,1:39.790
8427,397,231,172,18,15,15,0.0,51,+1 Lap,1:39.835
8428,397,807,172,17,16,16,0.0,50,+2 Laps,1:40.922
8429,397,638,169,5,17,R,0.0,5,Brakes,1:42.285
8430,397,572,170,16,18,R,0.0,,Collision,
8431,397,315,83,19,19,R,0.0,,Collision,
8432,397,17,135,15,20,W,0.0,,Power Unit,
8433,398,331,140,1,1,1,25.0,66,Finished,1:23.593
8434,398,789,73,2,2,2,18.0,66,Finished,1:23.674
8435,398,638,169,6,3,3,15.0,66,Finished,1:23.686
8436,398,618,77,8,4,4,12.0,65,+1 Lap,1:25.755
